score,title,budget,location,posted,proposals,tags,link
8,爬蟲 、IP切換、全端、LLM、Verified Vibe Coding之AI / 矩陣自動化開發工程師,,,,,爬蟲程式資安防護服務全端系統開發,https://www.tasker.com.tw/cases/TK26052101GAMC36
6,全端程序員：PVA帳號池、活體偵測、爬蟲、帶檢測的 AI 協作、資料庫。,,,,,爬蟲程式資訊系統維護系統分析與設計,https://www.tasker.com.tw/cases/TK26051303KXJG39
6,熟帳號池(PVA)、爬蟲、活檢、VPN、資料庫、全端、Verified Vibe Coding之AI程序員,,,,,爬蟲程式資訊系統維護系統分析與設計,https://www.tasker.com.tw/cases/TK26051118UXTX65
4,程式開發,,,,,軟體程式設計ERP系統,https://www.tasker.com.tw/cases/TK26052215WHYZ75
4,PDF 異質化產品型錄資訊提取技術開發（圖片 + 結構化資料）,,,,,網路應用程式設計AI 系統開發AI OCR 文字辨識,https://www.tasker.com.tw/cases/TK26051721CBDL68
4,程式開發,,,,,軟體程式設計系統分析與設計後端開發,https://www.tasker.com.tw/cases/TK26051717PXMA55
4,API、整合與產品層,,,,,網站架設網路應用程式設計資訊系統維護,https://www.tasker.com.tw/cases/TK26051214AELF03
3,程式開發,,,,,網站架設RWD響應式網站設計網路應用程式設計,https://www.tasker.com.tw/cases/TK26052323VEGC54
3,Flutter 專案,,,,,軟體程式設計APP軟體開發,https://www.tasker.com.tw/cases/TK26051808SXCE59
3,AI代理人設計與原型開發規劃,,,,,系統分析與設計AI 系統開發AI Agent 助理,https://www.tasker.com.tw/cases/TK26051715RGIO37
3,網站開發,,,,,軟體程式設計網站架設客製化網站設計,https://www.tasker.com.tw/cases/TK26051713NGOV11
2,EXCEL爬蟲+產QRCODE,,,,,軟體程式設計爬蟲程式,https://www.tasker.com.tw/cases/TK26051703IVXP38
2,辦公室內網及工作軟體,,,,,網站架設網路應用程式設計,https://www.tasker.com.tw/cases/TK26051511GUMS50
2,電商用的進銷存,,,,,ERP系統庫存管理系統,https://www.tasker.com.tw/cases/TK26051219IAOD68
2,自動化工作流,,,,,AI Agent 助理AI 流程自動化AI 知識庫,https://www.tasker.com.tw/cases/TK26051305WSCS99
2,AI Manus操作與製作,,,,,AI 流程自動化n8n 整合自動化,https://www.tasker.com.tw/cases/TK26051114ZHOX12
2,協助網站建置-wordpress,,,,,網頁設計網站架設形象網站設計,https://www.tasker.com.tw/cases/TK26051219IVCP16
1,產品安全資料簽署,,,,,軟體程式設計軟體測試公證事務,https://www.tasker.com.tw/cases/TK26051502MBTX05
1,小遊戲cloning,,,,,軟體程式設計軟體測試遊戲設計,https://www.tasker.com.tw/cases/TK26050907YRNM80
